last,number,,TD,TD thrown,Yards,Yards thrown,Yards return,TD return,Int thrown,Fumble Lost,TD Def,Int,Fumble force,Fumble recovery,Sack,blocked,TFL,TKL solo,TKL assist,PBU,FG40,FG30,FG0,Punt-touch,Punt-redzone,Miss FG,Miss PAT
Denker,7,,2,2,5,3,3,4,2,3,1,4,4,0,4,1,0,2,4,2,0,1,3,3,4,4,0
Carey,25,,5,4,0,1,1,4,5,0,3,2,0,2,3,5,1,3,3,3,3,0,3,2,3,2,5
Fischer,33,,0,4,0,0,1,1,1,5,0,2,3,2,0,1,5,3,5,0,2,3,4,2,0,5,5
Parks,11,,3,5,5,2,1,3,5,0,1,4,1,4,2,2,2,0,2,2,2,1,1,2,3,3,1
Phillips,6,,3,4,4,0,0,5,0,1,3,4,1,2,2,3,0,1,5,1,1,3,3,5,5,3,5
Griffey,5,,2,5,1,5,3,2,0,1,1,3,4,5,4,5,1,0,4,0,5,5,2,1,5,5,4
Flowers,2,,4,1,2,4,3,5,2,2,1,1,2,1,2,3,4,1,3,5,0,4,0,4,1,5,4
Grandon,26,,5,4,2,0,1,4,0,1,3,2,1,0,4,1,3,3,1,0,4,2,5,4,2,5,3
Tevis,38,,3,0,0,2,2,1,4,3,1,5,5,0,2,5,2,0,5,4,4,1,3,1,1,1,4
Pettinato,90,,1,4,4,3,0,5,5,2,2,0,2,2,3,5,4,3,2,5,1,0,1,4,3,3,0
Bondurant,21,,3,5,3,0,0,4,5,1,1,5,1,4,4,3,0,5,3,1,2,5,1,1,1,1,2
McKnight,6,,1,3,1,4,4,5,2,5,5,1,4,0,3,4,2,0,2,2,2,0,4,2,4,0,4
Jenkins,3,,3,1,0,0,3,4,1,3,1,1,3,2,3,1,4,3,4,0,2,3,3,2,1,4,1
Richardson,5,,0,2,1,3,3,3,1,1,4,1,1,3,3,1,3,4,2,2,0,4,5,2,3,0,0
Grant,10,,3,1,5,2,3,1,1,0,4,4,3,5,0,0,2,2,5,3,2,0,3,0,2,2,0
